Post Title,Sq ft,Bedroom,Bathroom,Balcony,Parking,Lift,Rent Floor,Total Number of Floor,Price,Service Charge,Build Year,Area,Extra Aminities, Generator,Property Type,Interior,Building Regiration Type,Road In Front of House,Gas,Servant Room,Facing,Tiles,Drawing Room,Dinning Room
ikaNA 2b,3500,3,4,2,1,1,2,7,170000,10000,2005,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
MARZUQ,2450,3,3,3,1,2,4,9,170000,10000,2023,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
Civil Parisa,4150,4,4,3,2,2,4,9,400000,25000,2024,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,EAST,YES,YES,YES
"Sanmar ManzaNA A2 , A6",3500,3,4,3,2,2,"2,6",9,230000,20000,2012,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24, GOVT,YES,NORTH,YES,YES,YES
Bti e Supreme A6,2000,3,4,3,1,1,6,7,200000,15000,2015,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
Ventura OriaNA,3200,4,4,2,1,1,6,7,250000,15000,2012,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
Suvau ShahNAwaz A6 A7,3800,3,4,2,2,2,"6,7",10,350000,20000,2025,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
Ventura Rebecca A5,3600,4,4,3,2,2,5,9,300000,25000,2012,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,GOVT,YES,EAST,YES,YES,YES
Urvee,3400,4,4,3,2,2,7,11,215000,15000,2018,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
mamata,2800,3,3,2,2,1,2,7,220000,15000,2010,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
NAvaNA ruby caella ,3700,4,4,3,2,2,10,12,420000,24000,2019,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
NAvaNA syed caselda 10a,4000,3,4,3,2,2,10,11,400000,2000,2017,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
EHL Moriyum Residence 8A,4000,3,4,3,2,2,8,14,500000,45000,2017,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
NAvaNA rubyb A33,3800,4,5,4,2,2,3,11,260000,26000,2018,Baridhara Diplomatic Zone,NA,NA,Residential appartment, Un- Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
FarNAz Monteceillo By NAVANA,3550,4,5,4,2,2,10,11,320000,15000,2023,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
aadin,3200,4,4,3,2,2,"1,3",9,330000,20000,2024,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
apan emerald a4,3600,4,5,3,2,2,4,10,380000,20000,2024,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Semi Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
SOUTH Breeze A2,3000,4,4,2,2,1,2,6,260000,20000,2010,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Semi Furnished,Residential,24,GOVT,YES,EAST,YES,YES,YES
green NAneehamid,2000,3,3,2,1,1,1,6,100000,0,2005,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
conco tribhubon,2500,3,3,2,1,1,4,9,230000,25000,2023,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
sanmar ManzaNA A2 ,3500,3,4,2,2,2,2,10,210000,20000,2010,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Semi Furnished,Residential,24,GOVT,YES,NORTH,YES,YES,YES
apan riya,4200,4,4,3,2,2,4,10,220000,0,2010,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
apan shurji sharoi,4000,4,4,3,2,2,6,7,360000,0,2022,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
ABC Sareng Bari,3900,4,4,3,2,2,"8,9",10,350000,0,2024,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,LPG,YES,EAST,YES,YES,YES
Shanta La Bijau,4600,3,4,3,1,2,8,9,400000,45000,2021,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
Nur Rosalia,4000,4,5,3,2,2,6,7,300000,20000,2012,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
Bay Chayaneer,3000,4,4,,2,2,"2,3,6,7",9,450000,0,2025,Baridhara Diplomatic Zone,"GYM, Swmming Pool",NA,Residential appartment,Un -Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
"Apan Shurjo Sharoi 3A, 4A",4000,4,4,3,2,2,"3,4",5,550000,40000,2023,Baridhara Diplomatic Zone,ac,NA,Residential appartment,Un -Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
Rangs Hai Legacy 10B,2450,3,4,3,1,2,10,13,400000,45000,2012,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,GOVT,YES,NORTH,YES,YES,YES
Rangs Hai Legacy ,2200,3,3,3,1,1,8,11,180000,8000,2017,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
"Basic Feous 2A, 4A",3000,4,5,3,1,1,"2,4",6,280000,0,2016,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Semi Furnished,Residential,24,GOVT,YES,EAST,YES,YES,YES
SOUTH Breeze SOUTH gaen A5,3500,4,4,3,2,2,5,10,260000,25000,2018,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Un -Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
basic Feous G+1 Duplex,4500,5,5,3,2,1,"0,1",6,380000,0,2016,Baridhara Diplomatic Zone,NA,NA,Residential appartment,Semi Furnished,Residential,24,GOVT,YES,EAST,YES,YES,YES
NAvaNA ruby caella 4A,3800,4,5,4,2,2,4,11,350000,26000,2018,Baridhara Diplomatic Zone,"GYM, Swmming Pool",NA,luxury appartment,Un -Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
NAvaNA Ruby Caella,3700,4,4,3,2,2,10,12,420000,24000,2019,Baridhara Diplomatic Zone,"GYM, Swmming Pool, bed wi table",NA,luxury appartment,Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
EHL Moriyum Residence 10A,4000,3,4,3,2,2,10,13,500000,0,2017,Baridhara Diplomatic Zone,"AC,GYM,Swimming Pool",NA,luxury appartment,Semi Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
L.K Laurel ,4000,4,4,3,2,2,6,10,450000,30000,2024,Baridhara Diplomatic Zone,NA,NA,luxury appartment,Un -Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
NAvaNA Khodeja Pinewood A4,3600,4,5,4,2,2,4,12,400000,30000,2024,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Un -Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
NAvaNA Khodeja Pinewood ,3600,4,5,4,2,2,11,12,500000,30000,2024,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
Civilian,4000,4,5,4,2,2,4,9,400000,30000,2024,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Un -Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
"Alamin Tonmoy(Duplex, Bra New)",7000,7,7,6,5,2,"8,9",10,550000,50000,2024,Baridhara Diplomatic Zone,NA,NA,luxury appartment,Un -Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
Labaid NAor Jahan (7 a 8 DX),6000,4,5,4,3,2,"7,8",9,550000,25000,2014,Baridhara Diplomatic Zone,NA,NA,luxury appartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
NAvaNA Hazle Wood 4A,3700,4,4,3,2,2,4,9,350000,25000,2023,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Un -Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
EHL Moriyum Residence,4000,3,4,3,2,2,8,11,500000,45000,2015,Baridhara Diplomatic Zone,"GYM, Swimming Pool",NA,luxury appartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
Apan Shurjo Sharoi ,4000,4,4,4,2,2,6,10,550000,30000,2023,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
NAvaNA Hazle Wood 2A,3700,4,4,3,2,2,2,9,350000,15000,2023,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Un -Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
NAvaNA FarNAz Monteceillo 3A,3550,4,5,4,2,2,3,11,300000,15000,2023,Baridhara Diplomatic Zone,NA,NA,luxury appartment,Un -Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
Akash Atrai 5A,4900,4,5,3,2,2,5,11,550000,25000,2023,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Un -Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
NAvaNA Ventura OriaNA 2A,4300,4,4,3,2,2,2,11,300000,21000,2017,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
BTI wi FloWESTr 3A,3500,4,4,4,2,2,3,11,350000,25000,2022,Baridhara Diplomatic Zone,Swimming Pool,NA,luxury appartment,Un -Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
summer,3500,4,4,3,2,2,6,11,260000,18000,2020,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
charulata,2600,3,3,3,1,1,4,6,190000,12000,2018,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
yasmi Alian,3900,4,4,3,2,2,3,11,260000,20000,2017,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,NORTH,YES,YES,YES
Priyo Prangon,2900,4,4,3,2,2,4,8,250000,15000,2012,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
BTI wi FloWESTr ,3500,4,4,3,2,2,3,11,350000,25000,2022,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
Assurance Marzuk House,2200,3,3,3,1,2,6,9,180000,8000,2021,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,WEST,YES,YES,YES
Masuk ToWESTr,3000,3,3,3,1,2,4,11,280000,21000,2020,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,NORTH,YES,YES,YES
NAvaNA,4300,4,4,3,2,2,2,11,280000,21000,2015,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
 Labaid Nur Jahan,2370,3,3,2,2,2,6,11,210000,12000,2015,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,NORTH,YES,YES,YES
Asset Primera 5A,2200,3,3,3,1,1,5,13,140000,10000,2018,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,NORTH,YES,YES,YES
Yasmi Aliyan 3A,3900,4,4,3,1,2,3,11,250000,20000,2015,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
Ventura OriaNA C3,4300,4,4,3,2,2,3,11,260000,21000,2010,Baridhara Diplomatic Zone,GYM,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
Maliha Green 4A,2300,3,3,2,1,1,4,11,150000,12000,2020,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,EAST,YES,YES,YES
Rangs Hai Legacy,2200,3,3,2,1,1,2,13,160000,8000,2019,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,SOUTH,YES,YES,YES
Shanta La Bijau 8A,4000,3,3,3,2,2,8,9,450000,37000,2023,Baridhara Diplomatic Zone,GYM,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,NORTH,YES,YES,YES
Assurance Marzuk House 6B,2200,3,3,3,1,2,6,11,180000,8000,2021,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,16,LPG,YES,NORTH,YES,YES,YES
Apan Shurjo Sharoi,4000,4,4,4,1,2,6,10,550000,30000,2023,Baridhara Diplomatic Zone,Swimming Pool,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
EHL Moriyum Residence,4000,3,4,3,2,2,8,11,500000,45000,2015,Baridhara Diplomatic Zone,"GYM, Swimming Pool",NA,Furnished apartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
DL Salam Rosevalley,1500,3,3,2,1,1,1,7,150000,10000,2015,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
DL Nur Rosalia 4E,3600,4,5,3,3,2,4,9,240000,20000,2015,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
impetus Centre,3012,Open Space,Open Space,Open Space,3,3,7,10,451800,60240,2018,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Furnished,Commercial,60,NA,NA,NORTH,YES,Open Space,Open Space
InNORTH M a S House 8A,4200,Open Space,Open Space,Open Space,2,2,8,13,630000,0,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
Shanta WESTern ToWESTr,5900,Open Space,Open Space,Open Space,3,6,9,23,944000,88500,2018,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Furnished,Commercial,60,LPG,NA,NORTH,YES,Open Space,Open Space
prasad trEASTd centre,7500,Open Space,Open Space,Open Space,3,4,14,20,900000,75000,2010,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,60,NA,YES,NORTH,YES,Open Space,Open Space
Sejad Palace,5500,Open Space,Open Space,Open Space,2,2,"4,5",11,715000,55000,2010,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,60,NA,NA,EAST WEST,YES,Open Space,Open Space
conco colosseum,2780,Open Space,Open Space,Open Space,1,2,5,13,330000,26500,2015,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,60,LPG, YES,NORTH,YES,Open Space,Open Space
Shanta PinNAcle,14560,Open Space,Open Space,Open Space,8,7,"11,31,32",41,2620800,0,2025,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,60,NA,NA,NORTH SOUTH,NA,Open Space,Open Space
Conco MB ToWESTr,3625,Open Space,Open Space,Open Space,1,2,10,17,616250,"54,375",2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
Rangs Cente,7973,Open Space,Open Space,Open Space,2,3,"4,3,2",9,797300,"63,784",2023,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,NA,Open Space,Open Space
Sheltech NORTHtgern ar,2295,Open Space,Open Space,Open Space,1,2,"5,6",10,320000,30000,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,40,NA,NA,SOUTH,YES,Open Space,Open Space
FiNAnce Square 17 a 18 floor,3700,Open Space,Open Space,Open Space,2,2,"17,18",23,925000,74000,2020,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,30,NA,NA,SOUTH,NA,Open Space,Open Space
Bra New Commercial Space,3100,Open Space,Open Space,Open Space,1,2,"5,4,3",10,372000,31000,2025,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,30,NA,NA,WEST,NA,Open Space,Open Space
Suvau Muskan ToWESTr,3995,Open Space,Open Space,Open Space,1,3,8,23,479400,59925,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,EAST,YES,Open Space,Open Space
Commercial cove,3500,Open Space,Open Space,Open Space,1,2,7,10,385000,0,2010,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,30,NA,NA,WEST,YES,Open Space,Open Space
Autograph ToWESTr 17 Floor,11500,Open Space,Open Space,Open Space,2,5,17,21,2070000,172500,2014,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,60,NA,NA,SOUTH,NA,Open Space,Open Space
Suvau HeNA Skyline,7500,Open Space,Open Space,Open Space,3,7,25,37,1125000,0,2025,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,60,NA,NA,EAST,YES,Open Space,Open Space
Suvau Rahman Galleria,3017,Open Space,Open Space,Open Space,1,2,"5,9",11,452550,0,2023,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,EAST,YES,Open Space,Open Space
artisan 2 floor,3282,Open Space,Open Space,Open Space,2,2,2,11,426660,49230,2015,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,NA,Open Space,Open Space
iividual house,10000,Open Space,Open Space,Open Space,6,NA,"0 ,2",3,900000,0,2010,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,24, LPG,NA,WEST,YES,Open Space,Open Space
conco silvy toWESTr,6500,Open Space,Open Space,Open Space,2,2,8,13,1300000,0,2017,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,EAST,NA,Open Space,Open Space
AWR U TOWESTR,2200,Open Space,Open Space,Open Space,1,3,2,20,374000,33000,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
Shanta Forum,11000,Open Space,Open Space,Open Space,4,4,13,24,1760000,187000,2022,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,60,NA,NA,SOUTH,NA,Open Space,Open Space
Alauddin ToWESTr,4000,Open Space,Open Space,Open Space,2,2,4,11,480000,40000,2010,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,24,NA,NA,EAST,NA,Open Space,Open Space
Conco IK ToWESTr,5200,Open Space,Open Space,Open Space,2,3,0,13,1560000,52000,2018,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,NA,Open Space,Open Space
Silver ToWESTr,5800,Open Space,Open Space,Open Space,2,3,8,18,638000,58000,2018,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
InNORTH Intercontinental,12000,Open Space,Open Space,Open Space,5,6,22,31,1800000,0,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,WEST,YES,Open Space,Open Space
NiNA Kabbo,15200,Open Space,Open Space,Open Space,7,3,3,16,1976000,456000,2020,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,NA,Open Space,Open Space
Conco Niharika,1957,Open Space,Open Space,Open Space,1,2,6,14,306125,29640,2023,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
Rangs Z Square,3700,Open Space,Open Space,Open Space,1,2,14,20,740000,55500,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,EAST,NA,Open Space,Open Space
NAvaNA Trillium,3900,Open Space,Open Space,Open Space,2,2,9,15,585000,58500,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
ANAbil ToWESTr,6692,Open Space,Open Space,Open Space,1,5,16,20,1204560,133840,2019,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
Caerisis ToWESTr,3300,Open Space,Open Space,Open Space,2,2,"5,12",14,429000,33000,2023,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,40,NA,NA,EAST,NA,Open Space,Open Space
Reliance ToWESTr,6500,Open Space,Open Space,Open Space,2,4,8,14,845000,65000,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
Conco Baksh ToWEST,3800,Open Space,Open Space,Open Space,2,2,1,18,950000,57000,2023,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
Bay Delvia,9000,Open Space,Open Space,Open Space,5,2,7,19,1440000,45000,2012,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
Momen Bari Heights,526,Open Space,Open Space,Open Space,NA,2,0,16,280000,5260,2023,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,24,NA,NA,EAST,YES,Open Space,Open Space
MMK Akash Avenue ,3372,Open Space,Open Space,Open Space,1,2,8,18,539520,50580,2023,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
Conco Richmo,7500,Open Space,Open Space,Open Space,3,2,7,9,825000,75000,2010,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,EAST,YES,Open Space,Open Space
NAbil House,2780,Open Space,Open Space,Open Space,1,2,7,11,639400,27800,2023,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Furnished,Commercial,30,NA,NA,NORTH,YES,Open Space,Open Space
CDL Molla Capital Centre,4400,Open Space,Open Space,Open Space,2,2,7,8,528000,79200,2012,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,EAST,YES,Open Space,Open Space
Autograph ToWESTr 10A,11500,Open Space,Open Space,Open Space,4,5,10,20,2300000,172500,2019,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,NA,Open Space,Open Space
Nur Empori,6000,Open Space,Open Space,Open Space,3,2,6,13,720000,60000,2017,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
Sheltech Ayaan,2905,Open Space,Open Space,Open Space,1,2,6,13,348600,43575,2022,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
Uday ToWESTr,12000,Open Space,Open Space,Open Space,5,4,17,21,1560000,120000,2010,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,EAST,YES,Open Space,Open Space
impetus Centre,4000,Open Space,Open Space,Open Space,2,3,7,13,440000,80000,2017,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space, Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
jolchobi toWESTr,2914,Open Space,Open Space,Open Space,1,2,2,15,874200,29140,2016,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space, Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
conco niharika toWESTr,3950,Open Space,Open Space,Open Space,2,2,6,15,671500,59250,2022,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
genetic baro bhuiyan,6400,Open Space,Open Space,Open Space,2,3,14,15,1280000,64000,2010,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,NA,Open Space,Open Space
Taj   merriot,5800,Open Space,Open Space,Open Space,2,1,4,7,696000,58000,2009,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,EAST,YES,Open Space,Open Space
SOUTH Breeze Centre 5 floor,3512,Open Space,Open Space,Open Space,1,3,5,13,456560,47000,2018,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
InNORTH M a S House,4300,Open Space,Open Space,Open Space,2,2,5,14,645000,107500,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,NA,Open Space,Open Space
Alison ToWESTr,2500,Open Space,Open Space,Open Space,1,2,10,15,350000,30000,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
EASTern oversEASTs,1000,Open Space,Open Space,Open Space,NA,2,7,11,140000,10000,2005,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space, Furnished,Commercial,24,NA,NA,SOUTH,YES,Open Space,Open Space
Conco MB ToWESTr,3625,Open Space,Open Space,Open Space,1,2,11,17,616250,54375,2024,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,SOUTH,YES,Open Space,Open Space
Prasad trEASTd centre,3700,Open Space,Open Space,Open Space,1,3,4,16,444000,37000,2008,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
Symphony toWESTr 5a,3961,Open Space,Open Space,Open Space,2,3,5,8,396100,39610,2007,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,YES,SOUTH,YES,Open Space,Open Space
ANZ Haque Eleven Square 9A,3900,Open Space,Open Space,Open Space,2,2,9,13,546000,39000,2016,Baridhara Diplomatic Zone,Fire alarm,YES,	Office Space,Un -Furnished,Commercial,50,NA,NA,NORTH,YES,Open Space,Open Space
