Post Title,Sq ft,Bedroom,Bathroom,Balcony,Parking,Lift,Rent Floor,Total Number of Floor,Price,Service Charge,Build Year,Area,Extra Aminities, Generator,Property Type,Interior,Building Regiration Type,Road In Front of House,Gas,Servant Room,Facing,Tiles,Drawing Room,Dinning Room
JahaNORTHa DyNAy 10A,3700,4,4,3,2,2,10,14,350000,15000,2022,"Road: 103, Gulshan,Dhaka 1212","GYM, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""30 """,L.P.G,YES,SOUTH,YES,YES,YES
Rangs Water Front,4100,4,5,4,2,2,11,14,280000,10000,2013,"Road: 17, Gulshan,Dhaka 1212","GYM, Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,EAST,YES,YES,YES
Inn ar Metropolis 2B,3000,3,4,3,2,3,2,18,300000,25000,2024,"Road: 97, Gulshan,Dhaka 1212","Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment / Luxury Apartment,Furnished,Residential,"""24 """,L.P.G,YES,NORTH,YES,YES,YES
Rangs Mir Palace,2000,3,3,2,1,2,3,9,110000,8000,2010,"Road: 62, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,NORTH,YES,YES,YES
Rahmania Amicus,1500,3,3,2,1,1,1,6,100000,8000,2008,"Road: 137, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,SOUTH,YES,YES,YES
Ismail House,3000,4,4,3,1,1,1,6,130000,10000,2008,"Road: 103, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,GOVT,YES,SOUTH,YES,YES,YES
Lake House Empori,2600,2,3,3,1,2,3,12,250000,15000,2018,"Road: 63, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,EAST,YES,YES,YES
Shanta Angan,3500,3,4,2,2,2,9,13,260000,20000,2014,"Road: 34, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,EAST,YES,YES,YES
Four SEASTsons,2300,3,4,3,1,1,5,6,100000,10000,2007,"Road: 44, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,EAST,YES,YES,YES
Urban OcEASTn 8B,2200,3,3,3,1,2,8,12,150000,10000,2016,"Road: 99, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,L.P.G,YES,NORTH,YES,YES,YES
Suvau Asmi NAzeela MaNORTH A5,2200,3,3,3,1,1,5,10,160000,15000,2015,"Road: 73, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,SOUTH,YES,YES,YES
Shanta Zephyr 13B,3500,3,4,2,2,2,13,9,"3,70,000",0,2025,"Road: 105, Gulshan,Dhaka 1212","Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,40,L.P.G,YES,SOUTH,YES,YES,YES
Tritoma Empori,4000,4,5,3,2,1,2,6,250000,20000,2009,"Road: 53, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,SOUTH,YES,YES,YES
Ventura Wieria,4000,4,4,4,2,2,6,10,370000,25000,2017,"Road: 54, Gulshan,Dhaka 1212","GYM, Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment / Luxury Apartment,Furnished,Residential,"""24 """,L.P.G,YES,WEST,YES,YES,YES
Wiaria,1900,3,3,2,1,1,2,6,100000,8500,2002,"Road: 95, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,EAST,YES,YES,YES
